valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2026-M07,month,CHFL,CHFL,all,agegroup_food,all,all,267,9091674,2.94,976,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2026-M08,month,CHFL,CHFL,all,agegroup_food,all,all,261,9091674,2.87,1237,NA,rising,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M01,month,CHFL,CHFL,all,agegroup_food,all,all,2,NA,0.02,2,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M02,month,CHFL,CHFL,all,agegroup_food,all,all,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M03,month,CHFL,CHFL,all,agegroup_food,all,all,6,NA,0.07,8,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M04,month,CHFL,CHFL,all,agegroup_food,all,all,6,NA,0.07,16,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M05,month,CHFL,CHFL,all,agegroup_food,all,all,6,NA,0.07,22,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M06,month,CHFL,CHFL,all,agegroup_food,all,all,5,NA,0.06,27,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M07,month,CHFL,CHFL,all,agegroup_food,all,all,11,NA,0.13,38,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M08,month,CHFL,CHFL,all,agegroup_food,all,all,14,NA,0.17,60,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M09,month,CHFL,CHFL,all,agegroup_food,all,all,4,NA,0.05,64,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M10,month,CHFL,CHFL,all,agegroup_food,all,all,5,NA,0.06,69,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M11,month,CHFL,CHFL,all,agegroup_food,all,all,6,NA,0.07,75,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M12,month,CHFL,CHFL,all,agegroup_food,all,all,8,NA,0.1,83,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M01,month,CHFL,CHFL,all,agegroup_food,all,all,6,NA,0.07,6,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M02,month,CHFL,CHFL,all,agegroup_food,all,all,7,NA,0.08,13,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M03,month,CHFL,CHFL,all,agegroup_food,all,all,6,NA,0.07,19,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M04,month,CHFL,CHFL,all,agegroup_food,all,all,6,NA,0.07,25,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M05,month,CHFL,CHFL,all,agegroup_food,all,all,10,NA,0.12,35,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M06,month,CHFL,CHFL,all,agegroup_food,all,all,7,NA,0.08,42,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M07,month,CHFL,CHFL,all,agegroup_food,all,all,14,NA,0.17,56,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M08,month,CHFL,CHFL,all,agegroup_food,all,all,14,NA,0.17,70,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M09,month,CHFL,CHFL,all,agegroup_food,all,all,16,NA,0.19,86,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M10,month,CHFL,CHFL,all,agegroup_food,all,all,13,NA,0.16,99,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M11,month,CHFL,CHFL,all,agegroup_food,all,all,15,NA,0.18,114,NA,NA,NA,NA,NA,NA,NA,TRUE
