valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2015,year,AG,canton,all,agegroup_food,all,475.0,653541.0,72.68,,506.0,,7.0,,,,,True
cases,2015,year,AI,canton,all,agegroup_food,all,8.0,15973.0,50.08,,18.3,,0.1,,,,,True
cases,2015,year,AR,canton,all,agegroup_food,all,23.0,54530.0,42.18,,44.7,,0.3,,,,,True
cases,2015,year,BE,canton,all,agegroup_food,all,798.0,1017183.0,78.45,,916.0,,11.7,,,,,True
cases,2015,year,BL,canton,all,agegroup_food,all,388.0,283157.0,137.03,,391.7,,5.7,,,,,True
cases,2015,year,BS,canton,all,agegroup_food,all,212.0,191757.0,110.56,,227.0,,3.1,,,,,True
cases,2015,year,CH,country,all,agegroup_food,all,6833.0,8325194.0,82.08,,7277.3,,99.5,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,6870.0,8362816.0,82.15,,7322.3,falling,100.0,-676.0,-9.04,-9.9,,True
cases,2015,year,FL,country,all,agegroup_food,all,37.0,37622.0,98.35,,45.0,,0.5,,,,,True
cases,2015,year,FR,canton,all,agegroup_food,all,287.0,307409.0,93.36,,239.3,,4.2,,,,,True
cases,2015,year,GE,canton,all,agegroup_food,all,522.0,484445.0,107.75,,425.0,,7.6,,,,,True
cases,2015,year,GL,canton,all,agegroup_food,all,24.0,40021.0,59.97,,32.0,,0.4,,,,,True
cases,2015,year,GR,canton,all,agegroup_food,all,174.0,196564.0,88.52,,182.7,,2.5,,,,,True
cases,2015,year,JU,canton,all,agegroup_food,all,84.0,72771.0,115.43,,92.0,,1.2,,,,,True
cases,2015,year,LU,canton,all,agegroup_food,all,299.0,398699.0,74.99,,355.3,,4.4,,,,,True
cases,2015,year,NE,canton,all,agegroup_food,all,177.0,178073.0,99.4,,156.7,,2.6,,,,,True
cases,2015,year,NW,canton,all,agegroup_food,all,55.0,42416.0,129.67,,51.7,,0.8,,,,,True
cases,2015,year,OW,canton,all,agegroup_food,all,33.0,37071.0,89.02,,36.0,,0.5,,,,,True
cases,2015,year,SG,canton,all,agegroup_food,all,244.0,499006.0,48.9,,387.0,,3.6,,,,,True
cases,2015,year,SH,canton,all,agegroup_food,all,41.0,79828.0,51.36,,58.3,,0.6,,,,,True
cases,2015,year,SO,canton,all,agegroup_food,all,254.0,266369.0,95.36,,275.7,,3.7,,,,,True
cases,2015,year,SZ,canton,all,agegroup_food,all,108.0,154073.0,70.1,,130.7,,1.6,,,,,True
cases,2015,year,TG,canton,all,agegroup_food,all,176.0,267393.0,65.82,,240.3,,2.6,,,,,True
cases,2015,year,TI,canton,all,agegroup_food,all,229.0,351894.0,65.08,,193.3,,3.4,,,,,True
cases,2015,year,UR,canton,all,agegroup_food,all,30.0,35971.0,83.4,,36.3,,0.4,,,,,True
cases,2015,year,VD,canton,all,agegroup_food,all,640.0,773239.0,82.77,,587.7,,9.4,,,,,True
cases,2015,year,VS,canton,all,agegroup_food,all,357.0,335622.0,106.37,,347.3,,5.2,,,,,True
cases,2015,year,ZG,canton,all,agegroup_food,all,98.0,122113.0,80.25,,102.3,,1.4,,,,,True
cases,2015,year,ZH,canton,all,agegroup_food,all,1092.0,1466076.0,74.48,,1240.7,,16.0,,,,,True
cases,2015,year,unknown,canton,all,agegroup_food,all,5.0,,,,3.3,,0.1,,,,,True
cases,2016,year,AG,canton,all,agegroup_food,all,623.0,663462.0,93.9,,531.7,,7.8,,,,,True
cases,2016,year,AI,canton,all,agegroup_food,all,13.0,16003.0,81.23,,14.3,,0.2,,,,,True
cases,2016,year,AR,canton,all,agegroup_food,all,36.0,54954.0,65.51,,39.3,,0.4,,,,,True
cases,2016,year,BE,canton,all,agegroup_food,all,990.0,1026513.0,96.44,,926.7,,12.4,,,,,True
cases,2016,year,BL,canton,all,agegroup_food,all,389.0,285624.0,136.19,,382.3,,4.9,,,,,True
cases,2016,year,BS,canton,all,agegroup_food,all,224.0,193070.0,116.02,,225.3,,2.8,,,,,True
cases,2016,year,CH,country,all,agegroup_food,all,8015.0,8419550.0,95.2,,7447.7,,99.3,,,,,True
cases,2016,year,CHFL,CHFL,all,agegroup_food,all,8075.0,8457360.0,95.48,,7497.0,rising,100.0,1205.0,13.33,16.2,,True
cases,2016,year,FL,country,all,agegroup_food,all,60.0,37810.0,158.69,,49.3,,0.7,,,,,True
cases,2016,year,FR,canton,all,agegroup_food,all,302.0,311914.0,96.82,,275.7,,3.8,,,,,True
cases,2016,year,GE,canton,all,agegroup_food,all,519.0,489524.0,106.02,,484.3,,6.5,,,,,True
cases,2016,year,GL,canton,all,agegroup_food,all,31.0,40147.0,77.22,,31.3,,0.4,,,,,True
cases,2016,year,GR,canton,all,agegroup_food,all,207.0,197550.0,104.78,,188.0,,2.6,,,,,True
cases,2016,year,JU,canton,all,agegroup_food,all,88.0,73122.0,120.35,,87.0,,1.1,,,,,True
cases,2016,year,LU,canton,all,agegroup_food,all,430.0,403397.0,106.59,,375.0,,5.4,,,,,True
cases,2016,year,NE,canton,all,agegroup_food,all,168.0,178567.0,94.08,,163.7,,2.1,,,,,True
cases,2016,year,NW,canton,all,agegroup_food,all,57.0,42556.0,133.94,,53.3,,0.7,,,,,True
cases,2016,year,OW,canton,all,agegroup_food,all,51.0,37378.0,136.44,,41.7,,0.6,,,,,True
cases,2016,year,SG,canton,all,agegroup_food,all,357.0,502552.0,71.04,,347.7,,4.5,,,,,True
cases,2016,year,SH,canton,all,agegroup_food,all,55.0,80769.0,68.1,,52.3,,0.7,,,,,True
cases,2016,year,SO,canton,all,agegroup_food,all,291.0,269441.0,108.0,,270.3,,3.6,,,,,True
cases,2016,year,SZ,canton,all,agegroup_food,all,153.0,155863.0,98.16,,134.7,,1.9,,,,,True
cases,2016,year,TG,canton,all,agegroup_food,all,200.0,270709.0,73.88,,215.7,,2.5,,,,,True
cases,2016,year,TI,canton,all,agegroup_food,all,296.0,354375.0,83.53,,248.0,,3.7,,,,,True
cases,2016,year,UR,canton,all,agegroup_food,all,39.0,36145.0,107.9,,35.7,,0.5,,,,,True
cases,2016,year,VD,canton,all,agegroup_food,all,739.0,784822.0,94.16,,645.3,,9.2,,,,,True
cases,2016,year,VS,canton,all,agegroup_food,all,367.0,339176.0,108.2,,359.3,,4.6,,,,,True
cases,2016,year,ZG,canton,all,agegroup_food,all,121.0,123948.0,97.62,,107.0,,1.5,,,,,True
cases,2016,year,ZH,canton,all,agegroup_food,all,1264.0,1487969.0,84.95,,1208.0,,15.8,,,,,True
cases,2016,year,unknown,canton,all,agegroup_food,all,5.0,,,,4.0,,0.1,,,,,True
cases,2017,year,AG,canton,all,agegroup_food,all,519.0,670988.0,77.35,,539.0,,7.2,,,,,True
cases,2017,year,AI,canton,all,agegroup_food,all,11.0,16105.0,68.3,,10.7,,0.2,,,,,True
cases,2017,year,AR,canton,all,agegroup_food,all,28.0,55178.0,50.74,,29.0,,0.4,,,,,True
cases,2017,year,BE,canton,all,agegroup_food,all,830.0,1031126.0,80.49,,872.7,,11.5,,,,,True
cases,2017,year,BL,canton,all,agegroup_food,all,330.0,287023.0,114.97,,369.0,,4.6,,,,,True
cases,2017,year,BS,canton,all,agegroup_food,all,204.0,193908.0,105.2,,213.3,,2.8,,,,,True
cases,2017,year,CH,country,all,agegroup_food,all,7199.0,8484130.0,84.85,,7349.0,,99.4,,,,,True
cases,2017,year,CHFL,CHFL,all,agegroup_food,all,7242.0,8522244.0,84.98,,7395.7,falling,100.0,-833.0,-10.5,-11.0,7456.8,True
cases,2017,year,FL,country,all,agegroup_food,all,43.0,38114.0,112.82,,46.7,,0.6,,,,,True
cases,2017,year,FR,canton,all,agegroup_food,all,333.0,315074.0,105.69,,307.3,,4.6,,,,,True
cases,2017,year,GE,canton,all,agegroup_food,all,566.0,495249.0,114.29,,535.7,,7.9,,,,,True
cases,2017,year,GL,canton,all,agegroup_food,all,32.0,40349.0,79.31,,29.0,,0.4,,,,,True
cases,2017,year,GR,canton,all,agegroup_food,all,160.0,197888.0,80.85,,180.3,,2.2,,,,,True
cases,2017,year,JU,canton,all,agegroup_food,all,96.0,73290.0,130.99,,89.3,,1.3,,,,,True
cases,2017,year,LU,canton,all,agegroup_food,all,292.0,406506.0,71.83,,340.3,,4.1,,,,,True
cases,2017,year,NE,canton,all,agegroup_food,all,169.0,177964.0,94.96,,171.3,,2.3,,,,,True
cases,2017,year,NW,canton,all,agegroup_food,all,39.0,42969.0,90.76,,50.3,,0.5,,,,,True
cases,2017,year,OW,canton,all,agegroup_food,all,41.0,37575.0,109.12,,41.7,,0.6,,,,,True
cases,2017,year,SG,canton,all,agegroup_food,all,332.0,504686.0,65.78,,311.0,,4.6,,,,,True
cases,2017,year,SH,canton,all,agegroup_food,all,72.0,81351.0,88.51,,56.0,,1.0,,,,,True
cases,2017,year,SO,canton,all,agegroup_food,all,229.0,271432.0,84.37,,258.0,,3.2,,,,,True
cases,2017,year,SZ,canton,all,agegroup_food,all,132.0,157301.0,83.92,,131.0,,1.8,,,,,True
cases,2017,year,TG,canton,all,agegroup_food,all,195.0,273801.0,71.22,,190.3,,2.7,,,,,True
cases,2017,year,TI,canton,all,agegroup_food,all,252.0,353709.0,71.25,,259.0,,3.5,,,,,True
cases,2017,year,UR,canton,all,agegroup_food,all,36.0,36299.0,99.18,,35.0,,0.5,,,,,True
cases,2017,year,VD,canton,all,agegroup_food,all,679.0,793129.0,85.61,,686.0,,9.4,,,,,True
cases,2017,year,VS,canton,all,agegroup_food,all,370.0,341463.0,108.36,,364.7,,5.1,,,,,True
cases,2017,year,ZG,canton,all,agegroup_food,all,93.0,125421.0,74.15,,104.0,,1.3,,,,,True
cases,2017,year,ZH,canton,all,agegroup_food,all,1142.0,1504346.0,75.91,,1166.0,,15.9,,,,,True
cases,2017,year,unknown,canton,all,agegroup_food,all,17.0,,,,9.0,,0.2,,,,,True
cases,2018,year,AG,canton,all,agegroup_food,all,459.0,678207.0,67.68,,533.7,,6.0,,,,,True
cases,2018,year,AI,canton,all,agegroup_food,all,13.0,16145.0,80.52,,12.3,,0.2,,,,,True
