valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2014,year,ZH,canton,all,agegroup_food,all,all,31.0,1446354.0,2.14,,,,25.2,,,,,True
cases,2015,year,AG,canton,all,agegroup_food,all,all,19.0,653541.0,2.91,,13.3,,6.3,,,,,True
cases,2015,year,AI,canton,all,agegroup_food,all,all,0.0,15973.0,0.0,,0.0,,0.0,,,,,True
cases,2015,year,AR,canton,all,agegroup_food,all,all,0.0,54530.0,0.0,,0.0,,0.0,,,,,True
cases,2015,year,BE,canton,all,agegroup_food,all,all,53.0,1017183.0,5.21,,25.7,,17.5,,,,,True
cases,2015,year,BL,canton,all,agegroup_food,all,all,9.0,283157.0,3.18,,5.0,,3.0,,,,,True
cases,2015,year,BS,canton,all,agegroup_food,all,all,7.0,191757.0,3.65,,6.0,,2.3,,,,,True
cases,2015,year,CH,country,all,agegroup_food,all,all,303.0,8325194.0,3.64,,169.3,,98.4,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,all,308.0,8362816.0,3.68,,172.0,,100.0,183.0,2.17,143.7,,True
cases,2015,year,FL,country,all,agegroup_food,all,all,5.0,37622.0,13.29,,2.7,,1.6,,,,,True
cases,2015,year,FR,canton,all,agegroup_food,all,all,15.0,307409.0,4.88,,6.7,,5.0,,,,,True
cases,2015,year,GE,canton,all,agegroup_food,all,all,47.0,484445.0,9.7,,21.0,,15.5,,,,,True
cases,2015,year,GL,canton,all,agegroup_food,all,all,0.0,40021.0,0.0,,1.0,,0.0,,,,,True
cases,2015,year,GR,canton,all,agegroup_food,all,all,9.0,196564.0,4.58,,6.3,,3.0,,,,,True
cases,2015,year,JU,canton,all,agegroup_food,all,all,4.0,72771.0,5.5,,2.0,,1.3,,,,,True
cases,2015,year,LU,canton,all,agegroup_food,all,all,26.0,398699.0,6.52,,10.7,,8.6,,,,,True
cases,2015,year,NE,canton,all,agegroup_food,all,all,9.0,178073.0,5.05,,6.0,,3.0,,,,,True
cases,2015,year,NW,canton,all,agegroup_food,all,all,1.0,42416.0,2.36,,0.7,,0.3,,,,,True
cases,2015,year,OW,canton,all,agegroup_food,all,all,5.0,37071.0,13.49,,2.3,,1.7,,,,,True
cases,2015,year,SG,canton,all,agegroup_food,all,all,5.0,499006.0,1.0,,3.7,,1.7,,,,,True
cases,2015,year,SH,canton,all,agegroup_food,all,all,2.0,79828.0,2.51,,1.3,,0.7,,,,,True
