valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2014,year,ZH,canton,all,agegroup_food,all,all,198.0,1446354.0,13.69,,,,16.0,,,,,True
cases,2015,year,AG,canton,all,agegroup_food,all,all,96.0,653541.0,14.69,,95.7,,7.1,,,,,True
cases,2015,year,AI,canton,all,agegroup_food,all,all,2.0,15973.0,12.52,,1.7,,0.1,,,,,True
cases,2015,year,AR,canton,all,agegroup_food,all,all,11.0,54530.0,20.17,,10.0,,0.8,,,,,True
cases,2015,year,BE,canton,all,agegroup_food,all,all,153.0,1017183.0,15.04,,135.3,,11.3,,,,,True
cases,2015,year,BL,canton,all,agegroup_food,all,all,55.0,283157.0,19.42,,47.7,,4.1,,,,,True
cases,2015,year,BS,canton,all,agegroup_food,all,all,34.0,191757.0,17.73,,40.7,,2.5,,,,,True
cases,2015,year,CH,country,all,agegroup_food,all,all,1354.0,8325194.0,16.26,,1285.3,,99.9,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,all,1355.0,8362816.0,16.2,,1288.7,,100.0,115.0,1.21,8.1,,True
cases,2015,year,FL,country,all,agegroup_food,all,all,1.0,37622.0,2.66,,3.3,,0.1,,,,,True
cases,2015,year,FR,canton,all,agegroup_food,all,all,37.0,307409.0,12.04,,38.3,,2.7,,,,,True
cases,2015,year,GE,canton,all,agegroup_food,all,all,134.0,484445.0,27.66,,106.3,,9.9,,,,,True
cases,2015,year,GL,canton,all,agegroup_food,all,all,8.0,40021.0,19.99,,7.3,,0.6,,,,,True
cases,2015,year,GR,canton,all,agegroup_food,all,all,26.0,196564.0,13.23,,30.0,,1.9,,,,,True
cases,2015,year,JU,canton,all,agegroup_food,all,all,22.0,72771.0,30.23,,17.0,,1.6,,,,,True
cases,2015,year,LU,canton,all,agegroup_food,all,all,53.0,398699.0,13.29,,59.0,,3.9,,,,,True
cases,2015,year,NE,canton,all,agegroup_food,all,all,49.0,178073.0,27.52,,33.0,,3.6,,,,,True
cases,2015,year,NW,canton,all,agegroup_food,all,all,6.0,42416.0,14.15,,3.0,,0.4,,,,,True
cases,2015,year,OW,canton,all,agegroup_food,all,all,1.0,37071.0,2.7,,2.7,,0.1,,,,,True
cases,2015,year,SG,canton,all,agegroup_food,all,all,87.0,499006.0,17.43,,73.3,,6.4,,,,,True
cases,2015,year,SH,canton,all,agegroup_food,all,all,14.0,79828.0,17.54,,13.0,,1.0,,,,,True
cases,2015,year,SO,canton,all,agegroup_food,all,all,43.0,266369.0,16.14,,42.3,,3.2,,,,,True
cases,2015,year,SZ,canton,all,agegroup_food,all,all,16.0,154073.0,10.38,,20.0,,1.2,,,,,True
