valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2015,year,AI,canton,all,agegroup_food,all,1.0,15973.0,6.26,,0.3,,0.6,,,,,True
cases,2015,year,AR,canton,all,agegroup_food,all,1.0,54530.0,1.83,,0.3,,0.6,,,,,True
cases,2015,year,BE,canton,all,agegroup_food,all,21.0,1017183.0,2.06,,16.3,,11.8,,,,,True
cases,2015,year,BL,canton,all,agegroup_food,all,4.0,283157.0,1.41,,4.3,,2.2,,,,,True
cases,2015,year,BS,canton,all,agegroup_food,all,11.0,191757.0,5.74,,7.3,,6.2,,,,,True
cases,2015,year,CH,country,all,agegroup_food,all,178.0,8325194.0,2.14,,156.3,,99.4,,,,,True
cases,2015,year,CHFL,CHFL,all,agegroup_food,all,179.0,8362816.0,2.14,,156.7,stagnant,100.0,35.0,0.4,23.0,,True
cases,2015,year,FL,country,all,agegroup_food,all,1.0,37622.0,2.66,,0.3,,0.6,,,,,True
cases,2015,year,FR,canton,all,agegroup_food,all,3.0,307409.0,0.98,,6.3,,1.7,,,,,True
cases,2015,year,GE,canton,all,agegroup_food,all,37.0,484445.0,7.64,,27.7,,20.8,,,,,True
cases,2015,year,GL,canton,all,agegroup_food,all,0.0,40021.0,0.0,,0.0,,0.0,,,,,True
cases,2015,year,GR,canton,all,agegroup_food,all,2.0,196564.0,1.02,,2.0,,1.1,,,,,True
cases,2015,year,JU,canton,all,agegroup_food,all,1.0,72771.0,1.37,,1.7,,0.6,,,,,True
cases,2015,year,LU,canton,all,agegroup_food,all,7.0,398699.0,1.76,,5.0,,3.9,,,,,True
cases,2015,year,NE,canton,all,agegroup_food,all,5.0,178073.0,2.81,,4.3,,2.8,,,,,True
cases,2015,year,NW,canton,all,agegroup_food,all,0.0,42416.0,0.0,,0.3,,0.0,,,,,True
cases,2015,year,OW,canton,all,agegroup_food,all,0.0,37071.0,0.0,,0.0,,0.0,,,,,True
cases,2015,year,SG,canton,all,agegroup_food,all,6.0,499006.0,1.2,,5.0,,3.4,,,,,True
cases,2015,year,SH,canton,all,agegroup_food,all,1.0,79828.0,1.25,,1.0,,0.6,,,,,True
cases,2015,year,SO,canton,all,agegroup_food,all,3.0,266369.0,1.13,,2.0,,1.7,,,,,True
cases,2015,year,SZ,canton,all,agegroup_food,all,2.0,154073.0,1.3,,1.7,,1.1,,,,,True
cases,2015,year,TG,canton,all,agegroup_food,all,3.0,267393.0,1.12,,1.3,,1.7,,,,,True
cases,2015,year,TI,canton,all,agegroup_food,all,4.0,351894.0,1.14,,5.0,,2.2,,,,,True
cases,2015,year,UR,canton,all,agegroup_food,all,0.0,35971.0,0.0,,0.3,,0.0,,,,,True
cases,2015,year,VD,canton,all,agegroup_food,all,15.0,773239.0,1.94,,16.3,,8.4,,,,,True
cases,2015,year,VS,canton,all,agegroup_food,all,6.0,335622.0,1.79,,3.3,,3.4,,,,,True
cases,2015,year,ZG,canton,all,agegroup_food,all,0.0,122113.0,0.0,,0.3,,0.0,,,,,True
cases,2015,year,ZH,canton,all,agegroup_food,all,39.0,1466076.0,2.66,,35.0,,21.9,,,,,True
cases,2016,year,AG,canton,all,agegroup_food,all,5.0,663462.0,0.75,,7.0,,2.8,,,,,True
cases,2016,year,AI,canton,all,agegroup_food,all,0.0,16003.0,0.0,,0.3,,0.0,,,,,True
cases,2016,year,AR,canton,all,agegroup_food,all,0.0,54954.0,0.0,,0.3,,0.0,,,,,True
cases,2016,year,BE,canton,all,agegroup_food,all,16.0,1026513.0,1.56,,18.7,,9.0,,,,,True
cases,2016,year,BL,canton,all,agegroup_food,all,8.0,285624.0,2.8,,4.7,,4.5,,,,,True
cases,2016,year,BS,canton,all,agegroup_food,all,2.0,193070.0,1.04,,7.0,,1.1,,,,,True
cases,2016,year,CH,country,all,agegroup_food,all,178.0,8419550.0,2.11,,166.7,,100.0,,,,,True
cases,2016,year,CHFL,CHFL,all,agegroup_food,all,178.0,8457360.0,2.1,,167.0,stagnant,100.0,-1.0,-0.04,-1.9,,True
cases,2016,year,FL,country,all,agegroup_food,all,0.0,37810.0,0.0,,0.3,,0.0,,,,,True
cases,2016,year,FR,canton,all,agegroup_food,all,4.0,311914.0,1.28,,5.3,,2.2,,,,,True
cases,2016,year,GE,canton,all,agegroup_food,all,30.0,489524.0,6.13,,30.0,,16.9,,,,,True
cases,2016,year,GL,canton,all,agegroup_food,all,0.0,40147.0,0.0,,0.0,,0.0,,,,,True
cases,2016,year,GR,canton,all,agegroup_food,all,1.0,197550.0,0.51,,1.7,,0.6,,,,,True
cases,2016,year,JU,canton,all,agegroup_food,all,4.0,73122.0,5.47,,2.0,,2.2,,,,,True
cases,2016,year,LU,canton,all,agegroup_food,all,11.0,403397.0,2.73,,6.7,,6.2,,,,,True
cases,2016,year,NE,canton,all,agegroup_food,all,10.0,178567.0,5.6,,6.3,,5.6,,,,,True
cases,2016,year,NW,canton,all,agegroup_food,all,0.0,42556.0,0.0,,0.3,,0.0,,,,,True
cases,2016,year,OW,canton,all,agegroup_food,all,0.0,37378.0,0.0,,0.0,,0.0,,,,,True
cases,2016,year,SG,canton,all,agegroup_food,all,0.0,502552.0,0.0,,4.0,,0.0,,,,,True
cases,2016,year,SH,canton,all,agegroup_food,all,0.0,80769.0,0.0,,0.3,,0.0,,,,,True
cases,2016,year,SO,canton,all,agegroup_food,all,3.0,269441.0,1.11,,2.7,,1.7,,,,,True
cases,2016,year,SZ,canton,all,agegroup_food,all,5.0,155863.0,3.21,,3.0,,2.8,,,,,True
cases,2016,year,TG,canton,all,agegroup_food,all,4.0,270709.0,1.48,,2.3,,2.2,,,,,True
cases,2016,year,TI,canton,all,agegroup_food,all,2.0,354375.0,0.56,,3.7,,1.1,,,,,True
cases,2016,year,UR,canton,all,agegroup_food,all,1.0,36145.0,2.77,,0.7,,0.6,,,,,True
cases,2016,year,VD,canton,all,agegroup_food,all,38.0,784822.0,4.84,,23.0,,21.3,,,,,True
cases,2016,year,VS,canton,all,agegroup_food,all,1.0,339176.0,0.29,,3.3,,0.6,,,,,True
cases,2016,year,ZG,canton,all,agegroup_food,all,0.0,123948.0,0.0,,0.3,,0.0,,,,,True
cases,2016,year,ZH,canton,all,agegroup_food,all,33.0,1487969.0,2.22,,33.0,,18.5,,,,,True
cases,2017,year,AG,canton,all,agegroup_food,all,1.0,670988.0,0.15,,4.0,,0.7,,,,,True
cases,2017,year,AI,canton,all,agegroup_food,all,0.0,16105.0,0.0,,0.3,,0.0,,,,,True
cases,2017,year,AR,canton,all,agegroup_food,all,0.0,55178.0,0.0,,0.3,,0.0,,,,,True
cases,2017,year,BE,canton,all,agegroup_food,all,14.0,1031126.0,1.36,,17.0,,9.7,,,,,True
cases,2017,year,BL,canton,all,agegroup_food,all,1.0,287023.0,0.35,,4.3,,0.7,,,,,True
cases,2017,year,BS,canton,all,agegroup_food,all,3.0,193908.0,1.55,,5.3,,2.1,,,,,True
cases,2017,year,CH,country,all,agegroup_food,all,145.0,8484130.0,1.71,,167.0,,100.0,,,,,True
cases,2017,year,CHFL,CHFL,all,agegroup_food,all,145.0,8522244.0,1.7,,167.3,falling,100.0,-33.0,-0.4,-19.0,158.6,True
cases,2017,year,FL,country,all,agegroup_food,all,0.0,38114.0,0.0,,0.3,,0.0,,,,,True
cases,2017,year,FR,canton,all,agegroup_food,all,8.0,315074.0,2.54,,5.0,,5.5,,,,,True
cases,2017,year,GE,canton,all,agegroup_food,all,35.0,495249.0,7.07,,34.0,,24.1,,,,,True
cases,2017,year,GL,canton,all,agegroup_food,all,1.0,40349.0,2.48,,0.3,,0.7,,,,,True
cases,2017,year,GR,canton,all,agegroup_food,all,3.0,197888.0,1.52,,2.0,,2.1,,,,,True
cases,2017,year,JU,canton,all,agegroup_food,all,0.0,73290.0,0.0,,1.7,,0.0,,,,,True
cases,2017,year,LU,canton,all,agegroup_food,all,4.0,406506.0,0.98,,7.3,,2.8,,,,,True
cases,2017,year,NE,canton,all,agegroup_food,all,3.0,177964.0,1.69,,6.0,,2.1,,,,,True
cases,2017,year,NW,canton,all,agegroup_food,all,0.0,42969.0,0.0,,0.0,,0.0,,,,,True
cases,2017,year,OW,canton,all,agegroup_food,all,0.0,37575.0,0.0,,0.0,,0.0,,,,,True
cases,2017,year,SG,canton,all,agegroup_food,all,4.0,504686.0,0.79,,3.3,,2.8,,,,,True
cases,2017,year,SH,canton,all,agegroup_food,all,0.0,81351.0,0.0,,0.3,,0.0,,,,,True
cases,2017,year,SO,canton,all,agegroup_food,all,5.0,271432.0,1.84,,3.7,,3.4,,,,,True
cases,2017,year,SZ,canton,all,agegroup_food,all,1.0,157301.0,0.64,,2.7,,0.7,,,,,True
cases,2017,year,TG,canton,all,agegroup_food,all,3.0,273801.0,1.1,,3.3,,2.1,,,,,True
cases,2017,year,TI,canton,all,agegroup_food,all,2.0,353709.0,0.57,,2.7,,1.4,,,,,True
cases,2017,year,UR,canton,all,agegroup_food,all,0.0,36299.0,0.0,,0.3,,0.0,,,,,True
cases,2017,year,VD,canton,all,agegroup_food,all,21.0,793129.0,2.65,,24.7,,14.5,,,,,True
cases,2017,year,VS,canton,all,agegroup_food,all,5.0,341463.0,1.46,,4.0,,3.4,,,,,True
cases,2017,year,ZG,canton,all,agegroup_food,all,0.0,125421.0,0.0,,0.0,,0.0,,,,,True
cases,2017,year,ZH,canton,all,agegroup_food,all,31.0,1504346.0,2.06,,34.3,,21.4,,,,,True
cases,2018,year,AG,canton,all,agegroup_food,all,14.0,678207.0,2.06,,6.7,,5.6,,,,,True
cases,2018,year,AI,canton,all,agegroup_food,all,0.0,16145.0,0.0,,0.0,,0.0,,,,,True
cases,2018,year,AR,canton,all,agegroup_food,all,0.0,55234.0,0.0,,0.0,,0.0,,,,,True
cases,2018,year,BE,canton,all,agegroup_food,all,23.0,1034977.0,2.22,,17.7,,9.3,,,,,True
cases,2018,year,BL,canton,all,agegroup_food,all,8.0,288132.0,2.78,,5.7,,3.2,,,,,True
cases,2018,year,BS,canton,all,agegroup_food,all,17.0,194766.0,8.73,,7.3,,6.9,,,,,True
cases,2018,year,CH,country,all,agegroup_food,all,248.0,8544527.0,2.9,,190.3,,100.0,,,,,True
cases,2018,year,CHFL,CHFL,all,agegroup_food,all,248.0,8582905.0,2.89,,190.3,rising,100.0,103.0,1.19,70.0,178.8,True
cases,2018,year,FL,country,all,agegroup_food,all,0.0,38378.0,0.0,,0.0,,0.0,,,,,True
cases,2018,year,FR,canton,all,agegroup_food,all,5.0,318714.0,1.57,,5.7,,2.0,,,,,True
cases,2018,year,GE,canton,all,agegroup_food,all,30.0,499480.0,6.01,,31.7,,12.1,,,,,True
cases,2018,year,GL,canton,all,agegroup_food,all,0.0,40403.0,0.0,,0.3,,0.0,,,,,True
cases,2018,year,GR,canton,all,agegroup_food,all,3.0,198379.0,1.51,,2.3,,1.2,,,,,True
cases,2018,year,JU,canton,all,agegroup_food,all,2.0,73419.0,2.72,,2.0,,0.8,,,,,True
cases,2018,year,LU,canton,all,agegroup_food,all,4.0,409557.0,0.98,,6.3,,1.6,,,,,True
cases,2018,year,NE,canton,all,agegroup_food,all,8.0,176850.0,4.52,,7.0,,3.2,,,,,True
cases,2018,year,NW,canton,all,agegroup_food,all,0.0,43223.0,0.0,,0.0,,0.0,,,,,True
cases,2018,year,OW,canton,all,agegroup_food,all,2.0,37841.0,5.29,,0.7,,0.8,,,,,True
cases,2018,year,SG,canton,all,agegroup_food,all,3.0,507697.0,0.59,,2.3,,1.2,,,,,True
cases,2018,year,SH,canton,all,agegroup_food,all,0.0,81991.0,0.0,,0.0,,0.0,,,,,True
cases,2018,year,SO,canton,all,agegroup_food,all,6.0,273194.0,2.2,,4.7,,2.4,,,,,True
cases,2018,year,SZ,canton,all,agegroup_food,all,4.0,159165.0,2.51,,3.3,,1.6,,,,,True
cases,2018,year,TG,canton,all,agegroup_food,all,6.0,276472.0,2.17,,4.3,,2.4,,,,,True
cases,2018,year,TI,canton,all,agegroup_food,all,7.0,353343.0,1.98,,3.7,,2.8,,,,,True
cases,2018,year,UR,canton,all,agegroup_food,all,0.0,36433.0,0.0,,0.3,,0.0,,,,,True
cases,2018,year,VD,canton,all,agegroup_food,all,42.0,799145.0,5.26,,33.7,,16.9,,,,,True
cases,2018,year,VS,canton,all,agegroup_food,all,9.0,343955.0,2.62,,5.0,,3.6,,,,,True
cases,2018,year,ZG,canton,all,agegroup_food,all,2.0,126837.0,1.58,,0.7,,0.8,,,,,True
cases,2018,year,ZH,canton,all,agegroup_food,all,53.0,1520968.0,3.48,,39.0,,21.4,,,,,True
cases,2019,year,AG,canton,all,agegroup_food,all,12.0,685845.0,1.75,,9.0,,5.7,,,,,True
cases,2019,year,AI,canton,all,agegroup_food,all,0.0,16128.0,0.0,,0.0,,0.0,,,,,True
cases,2019,year,AR,canton,all,agegroup_food,all,0.0,55445.0,0.0,,0.0,,0.0,,,,,True
cases,2019,year,BE,canton,all,agegroup_food,all,19.0,1039474.0,1.83,,18.7,,9.0,,,,,True
cases,2019,year,BL,canton,all,agegroup_food,all,5.0,289468.0,1.73,,4.7,,2.4,,,,,True
cases,2019,year,BS,canton,all,agegroup_food,all,8.0,195844.0,4.08,,9.3,,3.8,,,,,True
cases,2019,year,CH,country,all,agegroup_food,all,212.0,8606033.0,2.46,,201.7,,99.1,,,,,True
cases,2019,year,CHFL,CHFL,all,agegroup_food,all,214.0,8644780.0,2.48,,202.3,rising,100.0,-34.0,-0.41,-14.2,192.8,True
cases,2019,year,FL,country,all,agegroup_food,all,2.0,38747.0,5.16,,0.7,,0.9,,,,,True
cases,2019,year,FR,canton,all,agegroup_food,all,4.0,321783.0,1.24,,5.7,,1.9,,,,,True
cases,2019,year,GE,canton,all,agegroup_food,all,31.0,504128.0,6.15,,32.0,,14.6,,,,,True
cases,2019,year,GL,canton,all,agegroup_food,all,0.0,40590.0,0.0,,0.3,,0.0,,,,,True
cases,2019,year,GR,canton,all,agegroup_food,all,1.0,199021.0,0.5,,2.3,,0.5,,,,,True
cases,2019,year,JU,canton,all,agegroup_food,all,1.0,73584.0,1.36,,1.0,,0.5,,,,,True
cases,2019,year,LU,canton,all,agegroup_food,all,8.0,413120.0,1.94,,5.3,,3.8,,,,,True
cases,2019,year,NE,canton,all,agegroup_food,all,3.0,176496.0,1.7,,4.7,,1.4,,,,,True
cases,2019,year,NW,canton,all,agegroup_food,all,0.0,43087.0,0.0,,0.0,,0.0,,,,,True
cases,2019,year,OW,canton,all,agegroup_food,all,0.0,37930.0,0.0,,0.7,,0.0,,,,,True
cases,2019,year,SG,canton,all,agegroup_food,all,6.0,510734.0,1.17,,4.3,,2.8,,,,,True
cases,2019,year,SH,canton,all,agegroup_food,all,2.0,82348.0,2.43,,0.7,,0.9,,,,,True
cases,2019,year,SO,canton,all,agegroup_food,all,5.0,275247.0,1.82,,5.3,,2.4,,,,,True
cases,2019,year,SZ,canton,all,agegroup_food,all,5.0,160480.0,3.12,,3.3,,2.4,,,,,True
cases,2019,year,TG,canton,all,agegroup_food,all,1.0,279547.0,0.36,,3.3,,0.5,,,,,True
cases,2019,year,TI,canton,all,agegroup_food,all,8.0,351491.0,2.28,,5.7,,3.8,,,,,True
cases,2019,year,UR,canton,all,agegroup_food,all,1.0,36703.0,2.72,,0.3,,0.5,,,,,True
cases,2019,year,VD,canton,all,agegroup_food,all,28.0,805098.0,3.48,,30.3,,13.2,,,,,True
cases,2019,year,VS,canton,all,agegroup_food,all,7.0,345525.0,2.03,,7.0,,3.3,,,,,True
cases,2019,year,ZG,canton,all,agegroup_food,all,4.0,127642.0,3.13,,2.0,,1.9,,,,,True
cases,2019,year,ZH,canton,all,agegroup_food,all,53.0,1539275.0,3.44,,45.7,,25.0,,,,,True
cases,2020,year,AG,canton,all,agegroup_food,all,4.0,694072.0,0.58,,10.0,,6.9,,,,,True
cases,2020,year,AI,canton,all,agegroup_food,all,0.0,16293.0,0.0,,0.0,,0.0,,,,,True
cases,2020,year,AR,canton,all,agegroup_food,all,0.0,55309.0,0.0,,0.0,,0.0,,,,,True
cases,2020,year,BE,canton,all,agegroup_food,all,1.0,1043132.0,0.1,,14.3,,1.7,,,,,True
cases,2020,year,BL,canton,all,agegroup_food,all,2.0,290969.0,0.69,,5.0,,3.4,,,,,True
cases,2020,year,BS,canton,all,agegroup_food,all,3.0,196735.0,1.52,,9.3,,5.2,,,,,True
cases,2020,year,CH,country,all,agegroup_food,all,58.0,8670300.0,0.67,,172.7,,100.0,,,,,True
cases,2020,year,CHFL,CHFL,all,agegroup_food,all,58.0,8709355.0,0.67,,173.3,falling,100.0,-156.0,-1.81,-73.0,168.6,True
cases,2020,year,FL,country,all,agegroup_food,all,0.0,39055.0,0.0,,0.7,,0.0,,,,,True
cases,2020,year,FR,canton,all,agegroup_food,all,1.0,325496.0,0.31,,3.3,,1.7,,,,,True
cases,2020,year,GE,canton,all,agegroup_food,all,5.0,506343.0,0.99,,22.0,,8.6,,,,,True
cases,2020,year,GL,canton,all,agegroup_food,all,1.0,40851.0,2.45,,0.3,,1.7,,,,,True
cases,2020,year,GR,canton,all,agegroup_food,all,1.0,200096.0,0.5,,1.7,,1.7,,,,,True
cases,2020,year,JU,canton,all,agegroup_food,all,0.0,73709.0,0.0,,1.0,,0.0,,,,,True
cases,2020,year,LU,canton,all,agegroup_food,all,3.0,416347.0,0.72,,5.0,,5.2,,,,,True
cases,2020,year,NE,canton,all,agegroup_food,all,3.0,175894.0,1.71,,4.7,,5.2,,,,,True
cases,2020,year,NW,canton,all,agegroup_food,all,1.0,43520.0,2.3,,0.3,,1.7,,,,,True
cases,2020,year,OW,canton,all,agegroup_food,all,0.0,38108.0,0.0,,0.7,,0.0,,,,,True
cases,2020,year,SG,canton,all,agegroup_food,all,1.0,514504.0,0.19,,3.3,,1.7,,,,,True
cases,2020,year,SH,canton,all,agegroup_food,all,0.0,83107.0,0.0,,0.7,,0.0,,,,,True
cases,2020,year,SO,canton,all,agegroup_food,all,1.0,277462.0,0.36,,4.0,,1.7,,,,,True
cases,2020,year,SZ,canton,all,agegroup_food,all,0.0,162157.0,0.0,,3.0,,0.0,,,,,True
cases,2020,year,TG,canton,all,agegroup_food,all,2.0,282909.0,0.71,,3.0,,3.4,,,,,True
cases,2020,year,TI,canton,all,agegroup_food,all,5.0,350986.0,1.42,,6.7,,8.6,,,,,True
