valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2019,year,OW,canton,all,agegroup_food,all,0,37930,0,NA,0.7,NA,0,NA,NA,NA,NA,TRUE
cases,2019,year,SG,canton,all,agegroup_food,all,6,510734,1.17,NA,4.3,NA,2.8,NA,NA,NA,NA,TRUE
cases,2019,year,SH,canton,all,agegroup_food,all,2,82348,2.43,NA,0.7,NA,0.9,NA,NA,NA,NA,TRUE
cases,2019,year,SO,canton,all,agegroup_food,all,5,275247,1.82,NA,5.3,NA,2.4,NA,NA,NA,NA,TRUE
cases,2019,year,SZ,canton,all,agegroup_food,all,5,160480,3.12,NA,3.3,NA,2.4,NA,NA,NA,NA,TRUE
cases,2019,year,TG,canton,all,agegroup_food,all,1,279547,0.36,NA,3.3,NA,0.5,NA,NA,NA,NA,TRUE
cases,2019,year,TI,canton,all,agegroup_food,all,8,351491,2.28,NA,5.7,NA,3.8,NA,NA,NA,NA,TRUE
cases,2019,year,UR,canton,all,agegroup_food,all,1,36703,2.72,NA,0.3,NA,0.5,NA,NA,NA,NA,TRUE
cases,2019,year,VD,canton,all,agegroup_food,all,28,805098,3.48,NA,30.3,NA,13.2,NA,NA,NA,NA,TRUE
cases,2019,year,VS,canton,all,agegroup_food,all,7,345525,2.03,NA,7,NA,3.3,NA,NA,NA,NA,TRUE
cases,2019,year,ZG,canton,all,agegroup_food,all,4,127642,3.13,NA,2,NA,1.9,NA,NA,NA,NA,TRUE
cases,2019,year,ZH,canton,all,agegroup_food,all,53,1539275,3.44,NA,45.7,NA,25,NA,NA,NA,NA,TRUE
cases,2020,year,AG,canton,all,agegroup_food,all,4,694072,0.58,NA,10,NA,6.9,NA,NA,NA,NA,TRUE
cases,2020,year,AI,canton,all,agegroup_food,all,0,16293,0,NA,0,NA,0,NA,NA,NA,NA,TRUE
cases,2020,year,AR,canton,all,agegroup_food,all,0,55309,0,NA,0,NA,0,NA,NA,NA,NA,TRUE
cases,2020,year,BE,canton,all,agegroup_food,all,1,1043132,0.1,NA,14.3,NA,1.7,NA,NA,NA,NA,TRUE
cases,2020,year,BL,canton,all,agegroup_food,all,2,290969,0.69,NA,5,NA,3.4,NA,NA,NA,NA,TRUE
cases,2020,year,BS,canton,all,agegroup_food,all,3,196735,1.52,NA,9.3,NA,5.2,NA,NA,NA,NA,TRUE
cases,2020,year,CH,country,all,agegroup_food,all,58,8670300,0.67,NA,172.7,NA,100,NA,NA,NA,NA,TRUE
cases,2020,year,CHFL,CHFL,all,agegroup_food,all,58,8709355,0.67,NA,173.3,falling,100,-156,-1.81,-73,168.6,TRUE
cases,2020,year,FL,country,all,agegroup_food,all,0,39055,0,NA,0.7,NA,0,NA,NA,NA,NA,TRUE
cases,2020,year,FR,canton,all,agegroup_food,all,1,325496,0.31,NA,3.3,NA,1.7,NA,NA,NA,NA,TRUE
cases,2020,year,GE,canton,all,agegroup_food,all,5,506343,0.99,NA,22,NA,8.6,NA,NA,NA,NA,TRUE
cases,2020,year,GL,canton,all,agegroup_food,all,1,40851,2.45,NA,0.3,NA,1.7,NA,NA,NA,NA,TRUE
cases,2020,year,GR,canton,all,agegroup_food,all,1,200096,0.5,NA,1.7,NA,1.7,NA,NA,NA,NA,TRUE
cases,2020,year,JU,canton,all,agegroup_food,all,0,73709,0,NA,1,NA,0,NA,NA,NA,NA,TRUE
cases,2020,year,LU,canton,all,agegroup_food,all,3,416347,0.72,NA,5,NA,5.2,NA,NA,NA,NA,TRUE
cases,2020,year,NE,canton,all,agegroup_food,all,3,175894,1.71,NA,4.7,NA,5.2,NA,NA,NA,NA,TRUE
cases,2020,year,NW,canton,all,agegroup_food,all,1,43520,2.3,NA,0.3,NA,1.7,NA,NA,NA,NA,TRUE
cases,2020,year,OW,canton,all,agegroup_food,all,0,38108,0,NA,0.7,NA,0,NA,NA,NA,NA,TRUE
cases,2020,year,SG,canton,all,agegroup_food,all,1,514504,0.19,NA,3.3,NA,1.7,NA,NA,NA,NA,TRUE
cases,2020,year,SH,canton,all,agegroup_food,all,0,83107,0,NA,0.7,NA,0,NA,NA,NA,NA,TRUE
cases,2020,year,SO,canton,all,agegroup_food,all,1,277462,0.36,NA,4,NA,1.7,NA,NA,NA,NA,TRUE
cases,2020,year,SZ,canton,all,agegroup_food,all,0,162157,0,NA,3,NA,0,NA,NA,NA,NA,TRUE
cases,2020,year,TG,canton,all,agegroup_food,all,2,282909,0.71,NA,3,NA,3.4,NA,NA,NA,NA,TRUE
cases,2020,year,TI,canton,all,agegroup_food,all,5,350986,1.42,NA,6.7,NA,8.6,NA,NA,NA,NA,TRUE
cases,2020,year,UR,canton,all,agegroup_food,all,1,36819,2.72,NA,0.7,NA,1.7,NA,NA,NA,NA,TRUE
cases,2020,year,VD,canton,all,agegroup_food,all,4,814762,0.49,NA,24.7,NA,6.9,NA,NA,NA,NA,TRUE
cases,2020,year,VS,canton,all,agegroup_food,all,4,348503,1.15,NA,6.7,NA,6.9,NA,NA,NA,NA,TRUE
cases,2020,year,ZG,canton,all,agegroup_food,all,1,128794,0.78,NA,2.3,NA,1.7,NA,NA,NA,NA,TRUE
cases,2020,year,ZH,canton,all,agegroup_food,all,14,1553423,0.9,NA,40,NA,24.1,NA,NA,NA,NA,TRUE
cases,2021,year,AG,canton,all,agegroup_food,all,6,703086,0.85,NA,7.3,NA,6.1,NA,NA,NA,NA,TRUE
cases,2021,year,AI,canton,all,agegroup_food,all,1,16360,6.11,NA,0.3,NA,1,NA,NA,NA,NA,TRUE
cases,2021,year,AR,canton,all,agegroup_food,all,0,55585,0,NA,0,NA,0,NA,NA,NA,NA,TRUE
cases,2021,year,BE,canton,all,agegroup_food,all,6,1047473,0.57,NA,8.7,NA,6.1,NA,NA,NA,NA,TRUE
cases,2021,year,BL,canton,all,agegroup_food,all,1,292817,0.34,NA,2.7,NA,1,NA,NA,NA,NA,TRUE
cases,2021,year,BS,canton,all,agegroup_food,all,3,196036,1.53,NA,4.7,NA,3,NA,NA,NA,NA,TRUE
cases,2021,year,CH,country,all,agegroup_food,all,99,8738791,1.13,NA,123,NA,100,NA,NA,NA,NA,TRUE
cases,2021,year,CHFL,CHFL,all,agegroup_food,all,99,8778099,1.13,NA,123.7,falling,100,41,0.46,68.7,152.8,TRUE
cases,2021,year,FL,country,all,agegroup_food,all,0,39308,0,NA,0.7,NA,0,NA,NA,NA,NA,TRUE
cases,2021,year,FR,canton,all,agegroup_food,all,1,329809,0.3,NA,2,NA,1,NA,NA,NA,NA,TRUE
cases,2021,year,GE,canton,all,agegroup_food,all,19,509448,3.73,NA,18.3,NA,19.2,NA,NA,NA,NA,TRUE
cases,2021,year,GL,canton,all,agegroup_food,all,0,41190,0,NA,0.3,NA,0,NA,NA,NA,NA,TRUE
cases,2021,year,GR,canton,all,agegroup_food,all,0,201376,0,NA,0.7,NA,0,NA,NA,NA,NA,TRUE
cases,2021,year,JU,canton,all,agegroup_food,all,0,73798,0,NA,0.3,NA,0,NA,NA,NA,NA,TRUE
cases,2021,year,LU,canton,all,agegroup_food,all,1,420326,0.24,NA,4,NA,1,NA,NA,NA,NA,TRUE
cases,2021,year,NE,canton,all,agegroup_food,all,4,176166,2.27,NA,3.3,NA,4,NA,NA,NA,NA,TRUE
cases,2021,year,NW,canton,all,agegroup_food,all,1,43894,2.28,NA,0.7,NA,1,NA,NA,NA,NA,TRUE
cases,2021,year,OW,canton,all,agegroup_food,all,1,38435,2.6,NA,0.3,NA,1,NA,NA,NA,NA,TRUE
cases,2021,year,SG,canton,all,agegroup_food,all,2,519245,0.39,NA,3,NA,2,NA,NA,NA,NA,TRUE
cases,2021,year,SH,canton,all,agegroup_food,all,1,83995,1.19,NA,1,NA,1,NA,NA,NA,NA,TRUE
cases,2021,year,SO,canton,all,agegroup_food,all,2,280245,0.71,NA,2.7,NA,2,NA,NA,NA,NA,TRUE
cases,2021,year,SZ,canton,all,agegroup_food,all,2,163689,1.22,NA,2.3,NA,2,NA,NA,NA,NA,TRUE
cases,2021,year,TG,canton,all,agegroup_food,all,2,285964,0.7,NA,1.7,NA,2,NA,NA,NA,NA,TRUE
cases,2021,year,TI,canton,all,agegroup_food,all,2,352181,0.57,NA,5,NA,2,NA,NA,NA,NA,TRUE
cases,2021,year,UR,canton,all,agegroup_food,all,0,37047,0,NA,0.7,NA,0,NA,NA,NA,NA,TRUE
cases,2021,year,VD,canton,all,agegroup_food,all,20,822968,2.43,NA,17.3,NA,20.2,NA,NA,NA,NA,TRUE
cases,2021,year,VS,canton,all,agegroup_food,all,1,353209,0.28,NA,4,NA,1,NA,NA,NA,NA,TRUE
cases,2021,year,ZG,canton,all,agegroup_food,all,1,129787,0.77,NA,2,NA,1,NA,NA,NA,NA,TRUE
cases,2021,year,ZH,canton,all,agegroup_food,all,22,1564662,1.41,NA,29.7,NA,22.2,NA,NA,NA,NA,TRUE
cases,2022,year,AG,canton,all,agegroup_food,all,4,711232,0.56,NA,4.7,NA,2.1,NA,NA,NA,NA,TRUE
cases,2022,year,AI,canton,all,agegroup_food,all,0,16416,0,NA,0.3,NA,0,NA,NA,NA,NA,TRUE
cases,2022,year,AR,canton,all,agegroup_food,all,1,55759,1.79,NA,0.3,NA,0.5,NA,NA,NA,NA,TRUE
cases,2022,year,BE,canton,all,agegroup_food,all,8,1051437,0.76,NA,5,NA,4.2,NA,NA,NA,NA,TRUE
cases,2022,year,BL,canton,all,agegroup_food,all,6,294417,2.04,NA,3,NA,3.1,NA,NA,NA,NA,TRUE
cases,2022,year,BS,canton,all,agegroup_food,all,1,196786,0.51,NA,2.3,NA,0.5,NA,NA,NA,NA,TRUE
cases,2022,year,CH,country,all,agegroup_food,all,192,8815385,2.18,NA,116.3,NA,100,NA,NA,NA,NA,TRUE
cases,2022,year,CHFL,CHFL,all,agegroup_food,all,192,8855062,2.17,NA,116.3,rising,100,93,1.04,92,162.2,TRUE
cases,2022,year,FL,country,all,agegroup_food,all,0,39677,0,NA,0,NA,0,NA,NA,NA,NA,TRUE
cases,2022,year,FR,canton,all,agegroup_food,all,5,334465,1.49,NA,2.3,NA,2.6,NA,NA,NA,NA,TRUE
cases,2022,year,GE,canton,all,agegroup_food,all,24,514114,4.67,NA,16,NA,12.5,NA,NA,NA,NA,TRUE
cases,2022,year,GL,canton,all,agegroup_food,all,0,41471,0,NA,0.3,NA,0,NA,NA,NA,NA,TRUE
cases,2022,year,GR,canton,all,agegroup_food,all,6,202538,2.96,NA,2.3,NA,3.1,NA,NA,NA,NA,TRUE
cases,2022,year,JU,canton,all,agegroup_food,all,0,73865,0,NA,0,NA,0,NA,NA,NA,NA,TRUE
cases,2022,year,LU,canton,all,agegroup_food,all,11,424851,2.59,NA,5,NA,5.7,NA,NA,NA,NA,TRUE
cases,2022,year,NE,canton,all,agegroup_food,all,12,176571,6.8,NA,6.3,NA,6.2,NA,NA,NA,NA,TRUE
cases,2022,year,NW,canton,all,agegroup_food,all,1,44420,2.25,NA,1,NA,0.5,NA,NA,NA,NA,TRUE
cases,2022,year,OW,canton,all,agegroup_food,all,1,38700,2.58,NA,0.7,NA,0.5,NA,NA,NA,NA,TRUE
cases,2022,year,SG,canton,all,agegroup_food,all,6,525967,1.14,NA,3,NA,3.1,NA,NA,NA,NA,TRUE
cases,2022,year,SH,canton,all,agegroup_food,all,1,85214,1.17,NA,0.7,NA,0.5,NA,NA,NA,NA,TRUE
cases,2022,year,SO,canton,all,agegroup_food,all,5,282408,1.77,NA,2.7,NA,2.6,NA,NA,NA,NA,TRUE
cases,2022,year,SZ,canton,all,agegroup_food,all,5,164920,3.03,NA,2.3,NA,2.6,NA,NA,NA,NA,TRUE
cases,2022,year,TG,canton,all,agegroup_food,all,4,289650,1.38,NA,2.7,NA,2.1,NA,NA,NA,NA,TRUE
